job_id,title,company,location,country,category,salary_min,salary_max,salary_is_predicted,contract_time,created,description,skills,num_skills,avg_salary
5818783088,Data Analyst,Sphere Digital Recruitment,"London, UK",United Kingdom,IT Jobs,50000.0,50000.0,False,full_time,2026-07-28 22:24:11+00:00,"An exciting opportunity with a leading independent media and marketing consultancy is looking for a Data Analyst to join their growing analytics team. Based in Central London 2 days a week in the office Permanent position Start date: ASAP (can wait up to 3 months) £50,000 salary The Job As the Data Analyst , your responsibilities will include: Building, maintaining and enhancing data dashboards and reporting solutions Analysing data from multiple sources to generate clear, actionable insights S…",[],0,50000.0
5828166797,Data Analyst,Opencast Software,"Newcastle Upon Tyne, Tyne & Wear",United Kingdom,IT Jobs,53910.09,53910.09,True,Unknown,2026-08-04 21:16:45+00:00,"hackajob is collaborating with Opencast Software to connect them with exceptional professionals for this role. Want to help shape decisions with the power of data? Do you want to turn data into insights that make a real difference? Are you ready to use analytics, KPIs and storytelling to solve complex problems for our clients in government, healthcare and purpose-driven businesses? If so, Opencast could be the place for you. We’re a growing tech consultancy that creates user-centred solutions w…",[],0,53910.09
5823562275,Data Analyst,Solirius Reply,"London, UK",United Kingdom,IT Jobs,59407.18,59407.18,True,Unknown,2026-08-01 09:17:06+00:00,"hackajob is collaborating with Solirius Reply to connect them with exceptional professionals for this role. Solirius Reply, part of the Reply Group, delivers technical consultancy and application delivery to our clients in order to solve real world problems and allow our clients to respond to an ever-changing technical landscape. We partner closely with our clients, embedding our consultants into their businesses in order to provide a bespoke service, allowing us to truly understand our clients…",[],0,59407.18
5789988738,Data Analyst,Opencast Software,"Newcastle Upon Tyne, Tyne & Wear",United Kingdom,IT Jobs,49983.61,49983.61,True,Unknown,2026-07-06 16:39:35+00:00,"hackajob is collaborating with Opencast Software to connect them with exceptional professionals for this role. The Role You’ll help clients improve their services by selecting the appropriate techniques to turn data into insights, by working within a product delivery team to develop performance measuring frameworks to track goals, user needs, or KPIs. You’ll operate within the client's requirements and the appropriate legal, technical and ethical constraints. Leading by example and promoting Op…",[],0,49983.61
5827608653,Trainee Data Analyst,ITOL Recruit,"Croydon, London",United Kingdom,IT Jobs,30000.0,50000.0,False,full_time,2026-08-04 10:48:52+00:00,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",[],0,40000.0
5829370202,Logistics Data Analyst,Outsource UK,"Leicester, Leicestershire",United Kingdom,IT Jobs,37440.0,37440.0,False,full_time,2026-08-05 18:55:04+00:00,"Logistics Data Analyst Location: Desford Duration : 12 months Hourly Rate: £17.66 PAYE Working Arrangements : Full Time on site We're looking for a data-driven Logistics Data Analyst to support supply chain and procurement operations through reporting, analysis, and continuous improvement. You'll use data to identify trends, improve processes, support supplier performance, and help drive operational efficiency across the business. Key Responsibilities: Analyse logistics, procurement, and suppli…",[],0,37440.0
5809724157,Senior Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",United Kingdom,IT Jobs,70000.0,72000.0,False,full_time,2026-07-21 22:01:23+00:00,"Senior Data Analyst London | Hybrid (4 days in office, 1 day from home) | £70,000  Benefits No sponsorship avaliable - must have full UK working rights. This is an excellent opportunity for a Senior Data Analyst to join a growing Data & Analytics function within a highly commercial, data-led organisation. You'll play a key role in shaping business decisions, partnering with senior stakeholders across the organisation, and delivering analytics projects that have genuine visibility and impact at …",[],0,71000.0
5814310276,Finance Data Analyst,Marc Daniels,"London, UK",United Kingdom,Accounting & Finance Jobs,60000.0,70000.0,False,full_time,2026-07-24 22:11:10+00:00,"Marc Daniels are recruiting for a Finance Data Analyst to join a rapidly growing business based in Central London. This is an exciting opportunity created following a recent acquisition, offering exposure to large-scale financial data and a highly commercial environment. The Role As a Finance Data Analyst, you will play a key role in transforming financial data into actionable insights to support strategic decision-making. Working closely with finance and wider business stakeholders, you will a…",[],0,65000.0
5822590327,Commissions Data Analyst,Santander Consumer Finance,"Redhill, Surrey",United Kingdom,IT Jobs,38267.85,38267.85,True,full_time,2026-07-31 18:38:25+00:00,"SCUK Commissions Data Analyst, 12 Month Fixed Term Contract Country: United Kingdom Santander Consumer Finance UK (SCUK) is based in Redhill, Surrey and provides motor finance to a network of car dealerships throughout the United Kingdom. We are pleased to share that we are currently looking for a Commissions Data Analyst to join the Data Access and Commissions Operations Team on a 12-month Fixed Term Contract, working a minimum of 3 days a week in the Redhill office. Reporting to the MI Oversi…",[],0,38267.85
5820342708,Data Analyst,Elevate Recruitment Limited,"London, UK",United Kingdom,IT Jobs,30000.0,39000.0,False,full_time,2026-07-29 22:56:18+00:00,"Product Performance Analyst required by our client an international education establishment provider, responsible for leading the measurement, analysis, and reporting of Product performance to ensure high-quality insights and evidence-based decisions. This role is critical for driving continuous improvement in user experience, operational efficiency, and commercial outcomes. The role offers the opportunity for hybrid working with 2-3 days a week required in their London office in a really welco…",[],0,34500.0
